"Index","BookNumber","BookName","BookShortName"
0,1,"Genesis","Gen"
1,2,"Exodus","Exod"
2,3,"Leviticus","Lev"
3,4,"Numbers","Num"
4,5,"Deuteronomy","Deut"
5,6,"Joshua","Josh"
6,7,"Judges","Judg"
7,8,"Ruth","Ruth"
8,9,"1 Samuel","1Sam"
9,10,"2 Samuel","2Sam"
10,11,"1 Kings","1Kgs"
11,12,"2 Kings","2Kgs"
12,13,"1 Chronicles","1Chr"
13,14,"2 Chronicles","1Chr"
14,15,"Ezra","Ezra"
15,16,"Nehemiah","Neh"
16,80,"1 Esdras","1Esd"
17,69,"Tobit","Tob"
18,67,"Judith","Jdt"
19,17,"Esther","Esth"
20,18,"Job","Job"
21,19,"Psalm","Ps"
22,20,"Proverbs","Prov"
23,21,"Ecclesiastes","Eccl"
24,22,"Song of Solomon","Song"
25,68,"Wisdom","Wis"
26,70,"Sirach","Sir"
27,23,"Isaiah","Isa"
28,24,"Jeremiah","Jer"
29,25,"Lamentations","Lam"
30,79,"Letter of Jeremiah","EpJer"
31,71,"Baruch","Bar"
32,26,"Ezekiel","Ezek"
33,27,"Daniel","Dan"
34,28,"Hosea","Hos"
35,29,"Joel","Joel"
36,30,"Amos","Amos"
37,31,"Obadiah","Obad"
38,32,"Jonah","Jonah"
39,33,"Micah","Mic"
40,34,"Nahum","Nah"
41,35,"Habakkuk","Hab"
42,36,"Zephaniah","Zeph"
43,37,"Haggai","Hag"
44,38,"Zechariah","Zech"
45,39,"Malachi","Mal"
46,72,"1 Maccabees","1Macc"
47,73,"2 Maccabees","2Macc"
48,40,"Matthew","Matt"
49,41,"Mark","Mark"
50,42,"Luke","Luke"
51,43,"John","John"
52,44,"Acts","Acts"
53,45,"Romans","Rom"
54,46,"1 Corinthians","1Cor"
55,47,"2 Corinthians","2Cor"
56,48,"Galatians","Gal"
57,49,"Ephesians","Eph"
58,50,"Philippians","Phil"
59,51,"Colossians","Col"
60,52,"1 Thessalonians","1Thess"
61,53,"2 Thessalonians","2Thess"
62,54,"1 Timothy","1Tim"
63,55,"2 Timothy","2Tim"
64,56,"Titus","Titus"
65,57,"Philemon","Phlm"
66,58,"Hebrews","Heb"
67,59,"James","Jas"
68,60,"1 Peter","1Pet"
69,61,"2 Peter","2Pet"
70,62,"1 John","1John"
71,63,"2 John","2John"
72,64,"3 John","3John"
73,65,"Jude","Jude"
74,66,"Revelation","Rev"
75,84,"Epistle to the Laodiceans","EpLao"
